Type,Model,RMSE,MAE,MSE,R2
Hybrid,ANN,1.2460205444565589,0.8795991379857909,1.5525671972078192,0.5123271240713939
Hybrid,RF,1.3595391022104002,0.9547051141316656,1.8483465704390607,0.41942062840186545
Baseline,RF,1.3825987395745876,0.9633154593873561,1.911579274673238,0.3995587668463192
Baseline,ANN,1.3952868889835532,0.9487552183422922,1.9468255025694023,0.388487665154444
Baseline,DT,1.7365040835224308,1.2160065681444994,3.0154464320900773,0.05282590254985198
Hybrid,DT,1.8289279835680698,1.281864084153398,3.344977569078366,-0.05068227253726554
